[2019-07-08 15:55:30,863][Thread-9][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:208] Shutting down ExecutorService 'applicationTaskExecutor'
[2019-07-08 15:55:35,275][main][INFO][com.iresearch.svc.SvcApplication:50] Starting SvcApplication on mac-clouddxw.local with PID 47029 (/Users/clouddxw/IdeaProjects/svc/target/classes started by clouddxw in /Users/clouddxw/IdeaProjects/svc)
[2019-07-08 15:55:35,294][main][INFO][com.iresearch.svc.SvcApplication:675] No active profile set, falling back to default profiles: default
[2019-07-08 15:55:36,039][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:244] Multiple Spring Data modules found, entering strict repository configuration mode!
[2019-07-08 15:55:36,045][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:126] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-07-08 15:55:36,079][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:182] Finished Spring Data repository scanning in 18ms. Found 0 repository interfaces.
[2019-07-08 15:55:36,365][main][INFO][org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5c73a976] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-07-08 15:55:36,752][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90] Tomcat initialized with port(s): 9095 (http)
[2019-07-08 15:55:36,771][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Initializing ProtocolHandler ["http-nio-9095"]
[2019-07-08 15:55:36,780][main][INFO][org.apache.catalina.core.StandardService:173] Starting service [Tomcat]
[2019-07-08 15:55:36,781][main][INFO][org.apache.catalina.core.StandardEngine:173] Starting Servlet engine: [Apache Tomcat/9.0.14]
[2019-07-08 15:55:36,789][main][INFO][org.apache.catalina.core.AprLifecycleListener:173] The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/clouddxw/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
[2019-07-08 15:55:36,888][main][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring embedded WebApplicationContext
[2019-07-08 15:55:36,889][main][INFO][org.springframework.web.context.ContextLoader:296] Root WebApplicationContext: initialization completed in 1549 ms
[2019-07-08 15:55:37,962][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] Initializing ExecutorService 'applicationTaskExecutor'
[2019-07-08 15:55:38,430][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Starting ProtocolHandler ["http-nio-9095"]
[2019-07-08 15:55:38,472][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] Tomcat started on port(s): 9095 (http) with context path ''
[2019-07-08 15:55:38,476][main][INFO][com.iresearch.svc.SvcApplication:59] Started SvcApplication in 3.566 seconds (JVM running for 4.803)
[2019-07-08 15:56:19,993][http-nio-9095-exec-1][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-07-08 15:56:19,994][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:524] Initializing Servlet 'dispatcherServlet'
[2019-07-08 15:56:20,004][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:546] Completed initialization in 10 ms
[2019-07-08 15:56:22,510][http-nio-9095-exec-6][INFO][io.lettuce.core.EpollProvider:68] Starting without optional epoll library
[2019-07-08 15:56:22,512][http-nio-9095-exec-6][INFO][io.lettuce.core.KqueueProvider:70] Starting without optional kqueue library
[2019-07-08 15:56:22,671][http-nio-9095-exec-6][INFO][com.zaxxer.hikari.HikariDataSource:110] HikariPool-1 - Starting...
[2019-07-08 15:56:23,265][http-nio-9095-exec-6][INFO][com.zaxxer.hikari.pool.PoolBase:525] HikariPool-1 - Driver does not support get/set network timeout for connections. (不支持此操作。)
[2019-07-08 15:56:23,345][http-nio-9095-exec-6][INFO][com.zaxxer.hikari.HikariDataSource:123] HikariPool-1 - Start completed.
[2019-07-08 15:56:23,760][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.LoginController:155] com.iresearch.svc.controller.LoginController$1Checkres@128d70eb
[2019-07-08 15:57:32,783][Thread-11][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:208] Shutting down ExecutorService 'applicationTaskExecutor'
[2019-07-08 15:57:33,924][Thread-11][INFO][com.zaxxer.hikari.HikariDataSource:350] HikariPool-1 - Shutdown initiated...
[2019-07-08 15:57:33,927][Thread-11][INFO][com.zaxxer.hikari.HikariDataSource:352] HikariPool-1 - Shutdown completed.
[2019-07-08 15:57:36,444][main][INFO][com.iresearch.svc.SvcApplication:50] Starting SvcApplication on mac-clouddxw.local with PID 47052 (/Users/clouddxw/IdeaProjects/svc/target/classes started by clouddxw in /Users/clouddxw/IdeaProjects/svc)
[2019-07-08 15:57:36,450][main][INFO][com.iresearch.svc.SvcApplication:675] No active profile set, falling back to default profiles: default
[2019-07-08 15:57:37,074][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:244] Multiple Spring Data modules found, entering strict repository configuration mode!
[2019-07-08 15:57:37,077][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:126] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-07-08 15:57:37,106][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:182] Finished Spring Data repository scanning in 17ms. Found 0 repository interfaces.
[2019-07-08 15:57:37,369][main][INFO][org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$11468bc6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-07-08 15:57:37,660][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90] Tomcat initialized with port(s): 9095 (http)
[2019-07-08 15:57:37,674][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Initializing ProtocolHandler ["http-nio-9095"]
[2019-07-08 15:57:37,697][main][INFO][org.apache.catalina.core.StandardService:173] Starting service [Tomcat]
[2019-07-08 15:57:37,697][main][INFO][org.apache.catalina.core.StandardEngine:173] Starting Servlet engine: [Apache Tomcat/9.0.14]
[2019-07-08 15:57:37,703][main][INFO][org.apache.catalina.core.AprLifecycleListener:173] The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/clouddxw/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
[2019-07-08 15:57:37,776][main][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring embedded WebApplicationContext
[2019-07-08 15:57:37,776][main][INFO][org.springframework.web.context.ContextLoader:296] Root WebApplicationContext: initialization completed in 1278 ms
[2019-07-08 15:57:38,512][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] Initializing ExecutorService 'applicationTaskExecutor'
[2019-07-08 15:57:38,867][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Starting ProtocolHandler ["http-nio-9095"]
[2019-07-08 15:57:38,907][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] Tomcat started on port(s): 9095 (http) with context path ''
[2019-07-08 15:57:38,911][main][INFO][com.iresearch.svc.SvcApplication:59] Started SvcApplication in 2.786 seconds (JVM running for 4.092)
[2019-07-08 15:58:20,088][http-nio-9095-exec-1][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-07-08 15:58:20,088][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:524] Initializing Servlet 'dispatcherServlet'
[2019-07-08 15:58:20,095][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:546] Completed initialization in 7 ms
[2019-07-08 15:58:35,913][http-nio-9095-exec-8][INFO][io.lettuce.core.EpollProvider:68] Starting without optional epoll library
[2019-07-08 15:58:35,915][http-nio-9095-exec-8][INFO][io.lettuce.core.KqueueProvider:70] Starting without optional kqueue library
[2019-07-08 15:58:36,096][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.LoginController:155] com.iresearch.svc.controller.LoginController$1Checkres@4bde0542
[2019-07-08 15:58:36,125][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 15:58:36,126][http-nio-9095-exec-9][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 15:58:36,274][http-nio-9095-exec-7][INFO][com.zaxxer.hikari.HikariDataSource:110] HikariPool-1 - Starting...
[2019-07-08 15:58:36,784][http-nio-9095-exec-7][INFO][com.zaxxer.hikari.pool.PoolBase:525] HikariPool-1 - Driver does not support get/set network timeout for connections. (不支持此操作。)
[2019-07-08 15:58:36,868][http-nio-9095-exec-7][INFO][com.zaxxer.hikari.HikariDataSource:123] HikariPool-1 - Start completed.
[2019-07-08 15:58:38,906][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.IndexController:115] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c71f923|首页|打开页面|@|
[2019-07-08 15:58:43,953][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 15:58:43,953][http-nio-9095-exec-8][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 15:58:49,393][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.AllshowController:249] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c71f923|节目排名与详情|打开页面|@|
[2019-07-08 15:58:49,775][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 15:58:49,775][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 15:58:49,776][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 15:58:49,776][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:01:11,802][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:01:11,802][http-nio-9095-exec-10][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:01:14,223][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.AllshowController:249] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@2c71f923|节目排名与详情|打开页面|@|
[2019-07-08 16:01:14,548][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:01:14,548][http-nio-9095-exec-2][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-07-08 16:01:14,548][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:01:14,548][http-nio-9095-exec-2][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-07-08 16:08:02,036][Thread-9][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:208] Shutting down ExecutorService 'applicationTaskExecutor'
[2019-07-08 16:08:03,172][Thread-9][INFO][com.zaxxer.hikari.HikariDataSource:350] HikariPool-1 - Shutdown initiated...
[2019-07-08 16:08:03,174][Thread-9][INFO][com.zaxxer.hikari.HikariDataSource:352] HikariPool-1 - Shutdown completed.
[2019-07-08 16:08:05,717][main][INFO][com.iresearch.svc.SvcApplication:50] Starting SvcApplication on mac-clouddxw.local with PID 47142 (/Users/clouddxw/IdeaProjects/svc/target/classes started by clouddxw in /Users/clouddxw/IdeaProjects/svc)
[2019-07-08 16:08:05,724][main][INFO][com.iresearch.svc.SvcApplication:675] No active profile set, falling back to default profiles: default
[2019-07-08 16:08:06,309][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:244] Multiple Spring Data modules found, entering strict repository configuration mode!
[2019-07-08 16:08:06,311][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:126] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-07-08 16:08:06,338][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:182] Finished Spring Data repository scanning in 16ms. Found 0 repository interfaces.
